id,full_name,impact_factor,publisher,issn,ccf_rank,special_issue_title,special_issue_deadline,clicked,detail_page
565,IEEE Software,3.3,IEEE,0740-7459,,Human-Centric AI for Software Engineering,2026-09-07,29645,https://www.myhuiban.com/journal/565
727,Scientific Data,6.9,Springer,2052-4463,,"Data from archaeological samples, museum collections and historical records",2026-09-08,22484,https://www.myhuiban.com/journal/727
154,Computers & Graphics,2.8,Elsevier,0097-8493,C,Highlights from EuroVA 2026,2026-10-15,39790,https://www.myhuiban.com/journal/154
1192,Surface and Coatings Technology,6.9,Elsevier,0257-8972,,Extremely High-Speed Laser Cladding of Advanced Coatings (VSI: EHLC of Advanced Coatings),2027-12-01,13006,https://www.myhuiban.com/journal/1192
770,npj Systems Biology and Applications,3.5,Springer,2056-7189,,"Systems immunology: multi-omics approaches, dynamical modeling and novel agentic AI approaches",2026-09-12,22868,https://www.myhuiban.com/journal/770
115,Information Sciences,6.0,Elsevier,0020-0255,B,Information Processing and Intelligent Systems in 6G Networks,2026-09-15,129664,https://www.myhuiban.com/journal/115
52,Computer Law & Security Review,4.7,Elsevier,0267-3649,C,"Legal Frameworks, Technical Challenges, and Regulatory Design for Governing General-Purpose AI Systems",2026-10-30,51559,https://www.myhuiban.com/journal/52
114,Discover Computing,1.9,Springer,2948-2992,C,Trustworthy Visual Intelligence and Adaptive Learning for Safety-Critical Systems,2026-12-31,29712,https://www.myhuiban.com/journal/114
198,Pattern Recognition,7.6,Elsevier,0031-3203,B,Multimodal Representation Learning Based on Vision Foundation Models,2027-03-31,149946,https://www.myhuiban.com/journal/198
819,Optical Materials,4.2,Elsevier,0925-3467,,Optical Materials Research in Asia,2026-12-31,27080,https://www.myhuiban.com/journal/819
1207,Biofunctional Materials,,ELSP,2959-0574,,Biofunctional Materials for Tissue Regeneration,2026-09-30,6902,https://www.myhuiban.com/journal/1207
136,The Journal of Strategic Information Systems,11.8,Elsevier,0963-8687,C,"India at the Intersection: Reconfiguring Commerce, Capabilities and Culture in Age of Technological Acceleration",2026-09-30,38711,https://www.myhuiban.com/journal/136
567,Journal of Theoretical and Applied Electronic Commerce Research,4.6,MDPI,0718-1876,,Digital Intimacy and Immersive Commerce: Theoretical Advances in Consumer Engagement Through Virtual and Social Technologies,2026-11-11,33812,https://www.myhuiban.com/journal/567
511,Journal of Optimization Theory and Applications,1.5,Springer,0022-3239,,SI: Nonlinear Analysis and Optimization Theory: In Honor of Professor Simeon Reich's 80th Birthday,2026-12-31,25658,https://www.myhuiban.com/journal/511
87,Journal of Systems and Software,3.8,Elsevier,0164-1212,B,Software Architecture in a Digital Society,2027-01-31,65549,https://www.myhuiban.com/journal/87
667,Mechanical Systems and Signal Processing,8.9,Elsevier,0888-3270,,Progress in the Inverse Finite Element Method (iFEM) for Deformation Reconstruction and Structural Health Monitoring,2026-11-01,36575,https://www.myhuiban.com/journal/667
886,International Journal of Network Management,2.6,Wiley,1055-7148,,"Best Papers of IEEE/IFIP NOMS 2024: ""Towards Intelligent, Reliable, and Sustainable Network and Service Management""",2027-05-31,16196,https://www.myhuiban.com/journal/886
611,IT Professional,2.6,IEEE,1520-9202,,Leading the Next Computing Frontier: Quantum and Intelligent Systems,2026-09-30,21160,https://www.myhuiban.com/journal/611
146,IEEE Computer Graphics and Applications,1.4,IEEE,0272-1716,,"AI Governance, Authenticity, and Provenance for Visual Media",2026-09-30,36363,https://www.myhuiban.com/journal/146
519,Methodology and Computing in Applied Probability,1.0,Springer,1387-5841,,       Markov and Semi-Markov Processes and Related Fields: Theory and Applications — Selected Contributions from SMP2026,2026-09-30,18687,https://www.myhuiban.com/journal/519
1111,Nano Energy,17.1,Elsevier,2211-2855,,Celebrating 20 Years of Nanogenerators,2026-12-31,12151,https://www.myhuiban.com/journal/1111
234,Neurocomputing,6.5,Elsevier,0925-2312,C,Neural Dynamics in Intelligent Computing and Applications,2026-10-30,163878,https://www.myhuiban.com/journal/234
41,Ad Hoc Networks,5.4,Elsevier,1570-8705,C,Agent-Based Autonomous Networking for Mobile Ad Hoc Networks,2026-10-31,37648,https://www.myhuiban.com/journal/41
143,Computer Aided Geometric Design,1.7,Elsevier,0167-8396,B,Applications of NURBS in Architectural Geometry,2026-09-30,28173,https://www.myhuiban.com/journal/143
161,Journal of Visual Communication and Image Representation,2.8,Elsevier,1047-3203,C,Intelligent and Generative Multimedia Computing -- Outstanding Papers of ChinaMM2026,2026-09-30,35882,https://www.myhuiban.com/journal/161
1114,Polymer,5.1,Elsevier,0032-3861,,Polymer Science and Engineering across Ibero-Latin America,2027-02-27,15634,https://www.myhuiban.com/journal/1114
1234,Applied Clay Science,5.2,Elsevier,0169-1317,,"Clay-Based Materials for Emerging Applications: Multifunctional Advances across Energy, Manufacturing, Biomedical, and Environmental Fields",2026-12-31,445,https://www.myhuiban.com/journal/1234
18,Journal of Parallel and Distributed Computing,3.4,Elsevier,0743-7315,B,Federated and Distributed AI Across the Edge–Cloud Continuum,2027-01-30,58413,https://www.myhuiban.com/journal/18
19,The Journal of Systems Architecture: Embedded Software Design,5.3,Elsevier,1383-7621,B,Reliable Software Technologies (AEiC2027),2027-01-25,54769,https://www.myhuiban.com/journal/19
533,Queueing Systems,0.8,Springer,0257-0130,,ECQT 2026 - European Conference on Queueing Theory,2026-09-30,20471,https://www.myhuiban.com/journal/533
343,Applied Soft Computing,7.8,Elsevier,1568-4946,,Incremental Learning: Algorithms & Applications,2026-12-31,46840,https://www.myhuiban.com/journal/343
1193,Materials Science and Engineering: B,5.7,Elsevier,0921-5107,,Energy Catalysis and Conversion Materials,2027-02-28,11433,https://www.myhuiban.com/journal/1193
1045,"IEEE Transactions on Molecular, Biological, and Multi-Scale Communications",2.3,IEEE,2372-2061,,"AI-Powered Frontiers in Molecular, Biological, and Multi-Scale Communication",2026-10-01,17931,https://www.myhuiban.com/journal/1045
323,EURASIP Journal on Wireless Communications and Networking,1.9,Springer,1687-1499,,"2026 EuCNC & 6G Summit: 6G, Connecting Intelligence",2026-10-10,26435,https://www.myhuiban.com/journal/323
551,IEEE Pervasive Computing,1.8,IEEE,1536-1268,,Revisiting Mobility,2026-10-01,28937,https://www.myhuiban.com/journal/551
1190,Applied Surface Science,6.9,Elsevier,0169-4332,,Materials Challenges in Alternative and Renewable Energy 2026 (MCARE 2026),2027-01-31,11518,https://www.myhuiban.com/journal/1190
1237,Journal of Biomechanics,2.9,Elsevier,0021-9290,,Biomechanics in Human Movement and Clinical Translation in the AI Age,2026-12-31,86,https://www.myhuiban.com/journal/1237
1196,Journal of Nuclear Materials,3.3,Elsevier,0022-3115,,Nuclear Science User Facilities: 20 Years of Enabling Innovation in Nuclear Materials,2026-10-01,8695,https://www.myhuiban.com/journal/1196
1195,Solid State Sciences,3.3,Elsevier,1293-2558,,Defect-Engineered Advanced Materials for Sustainable Energy Applications,2027-01-31,9244,https://www.myhuiban.com/journal/1195
1231,Journal of Alloys and Compounds,6.7,Elsevier,0925-8388,,Emerging Directions in Materials Science: Fundamental and Applied Physics of Advanced Materials Systems,2026-10-15,666,https://www.myhuiban.com/journal/1231
209,Engineering Applications of Artificial Intelligence,9.0,Elsevier,0952-1976,C,"AI‑Enabled Systems Thinking for Advanced Construction Materials in Sustainable and Resilient Infrastructure: Knowledge-Guided Reasoning, Life Cycle Management, and Cross-Disciplinary Optimization",2027-05-31,76159,https://www.myhuiban.com/journal/209
876,Journal of Biomedical Semantics,2.0,Springer,2041-1480,,Semantic Technologies in Healthcare and Life Sciences,2026-10-12,16411,https://www.myhuiban.com/journal/876
412,Telematics and Informatics,8.3,Elsevier,0736-5853,,Romance and the Internet,2026-10-13,26871,https://www.myhuiban.com/journal/412
26,Computer Networks,4.7,Elsevier,1389-1286,B,"Wireless beyond limits: AI, 6G, Quantum, and new horizons",2027-01-31,110990,https://www.myhuiban.com/journal/26
1232,Solid State Ionics,3.7,Elsevier,0167-2738,,Diffusion and Reactions in Solids - Honoring Paul Heitjans on the occasion of his 80th birthday,2026-10-15,809,https://www.myhuiban.com/journal/1232
232,Neural Computing and Applications,,Springer,0941-0643,C,Machine Learning and Big Data Analytics for IoT Security and Privacy (SPIOT 2024),2026-10-30,37337,https://www.myhuiban.com/journal/232
609,IET Control Theory & Applications,2.6,IET,1751-8644,,"Modelling, Analysis, and Control of Competition Behaviour in Multi-Agent Systems",2026-10-30,27177,https://www.myhuiban.com/journal/609
89,Science of Computer Programming,1.6,Elsevier,0167-6423,B,18th International Symposium on Functional and Logic Programming,2026-12-01,29509,https://www.myhuiban.com/journal/89
903,International Journal of Communication Systems,1.8,Wiley,1074-5351,,UAV Assisted Intelligent Reflecting Surfaces for Next Generation V2X Communications,2026-10-31,17169,https://www.myhuiban.com/journal/903
438,Advances in Data Analysis and Classification,1.3,Springer,1862-5347,,Data Science: Methods for Explainable Modelling,2026-10-31,20543,https://www.myhuiban.com/journal/438
513,Journal of Scheduling,1.8,Springer,1094-6136,,"Latest Developments in Intelligent Scheduling: Theory, Models and Applications",2026-10-31,19766,https://www.myhuiban.com/journal/513
617,"IET Radar, Sonar & Navigation",1.7,IET,1751-8784,,"Advanced Target Detection, Tracking, and Imaging for Radar and Sonar Systems",2026-10-31,27329,https://www.myhuiban.com/journal/617
322,IEEE Transactions on Services Computing,5.8,IEEE,1939-1374,A,Large Language Models in Service-Oriented Ecosystems Design: Advances and Applications,2026-10-31,44538,https://www.myhuiban.com/journal/322
73,Discrete Applied Mathematics,1.1,Elsevier,0166-218X,C,Siberian International Conference on Graph Theory and Combinatorics,2027-03-31,33161,https://www.myhuiban.com/journal/73
65,Journal of Computer and System Sciences,1.4,Elsevier,0022-0000,B,IWOCA 2026,2026-10-31,32463,https://www.myhuiban.com/journal/65
205,Computer Speech & Language,3.0,Elsevier,0885-2308,C,Acoustical Intelligence in the Wild: Advancing Acoustic Signal Understanding in Open Environments,2027-05-31,32273,https://www.myhuiban.com/journal/205
36,Future Generation Computer Systems,5.9,Elsevier,0167-739X,C,"Advances in Quantum Computing: Methods, Algorithms, and Systems. Vol. IV",2027-04-30,175534,https://www.myhuiban.com/journal/36
69,Theoretical Computer Science,1.1,Elsevier,0304-3975,B,the 32nd International Computing and Combinatorics Conference,2026-12-31,40205,https://www.myhuiban.com/journal/69
398,Optics & Laser Technology,5.2,Elsevier,0030-3992,,Synergizing Artificial Intelligence with Optical Metrology and Laser Fabrication: Foundations and Applications (VSI: AI-Enhanced Photonics),2026-10-31,45340,https://www.myhuiban.com/journal/398
359,Control Engineering Practice,5.3,Elsevier,0967-0661,,AI-Driven Control and Planning for Advanced Robotics,2027-05-31,40658,https://www.myhuiban.com/journal/359
1199,Materials Science in Semiconductor Processing,4.6,Elsevier,1369-8001,,Emerging Two-Dimensional Semiconductor Materials for Electronic and Optoelectronic Applications,2027-03-31,8675,https://www.myhuiban.com/journal/1199
31,IEEE Security & Privacy,3.0,IEEE,1540-7993,,One Decade of GDPR – Contributions to Data Protection and Future Challenges,2026-12-01,40527,https://www.myhuiban.com/journal/31
63,Information and Computation,1.4,Elsevier,0890-5401,A,Foundations of Information and Knowledge Systems: Selected Papers from FoIKS 2026,2026-11-01,35591,https://www.myhuiban.com/journal/63
